theme,title,publication_year,cited_by_count,source_display_name,source_url,doi,has_pdf,is_open_access,research_track
Comportamento dos rios,Changes in Continental Freshwater Discharge from 1948 to 2004,2008,958,Journal of Climate,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=2966&context=vimsarticles,https://doi.org/10.1175/2008jcli2592.1,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Comportamento dos rios,Dams and the fish fauna of the Neotropical region: impacts and management related to diversity and fisheries,2008,779,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/5ycwcWLBLM6jN9gMQMcysdK/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842008000500019,True,True,n2_operacao_reservatorios_ons_sar
Pressao territorial,Freshwater Bivalve Extinctions (Mollusca: Unionoida): A Search for Causes,1993,550,American Zoologist,https://academic.oup.com/icb/article-pdf/33/6/599/6053784/33-6-599.pdf,https://doi.org/10.1093/icb/33.6.599,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Comportamento da bacia,Evaluation of TRMM Multisatellite Precipitation Analysis (TMPA) and Its Utility in Hydrologic Prediction in the La Plata Basin,2008,495,Journal of Hydrometeorology,https://journals.ametsoc.org/downloadpdf/journals/hydr/9/4/2007jhm944_1.pdf,https://doi.org/10.1175/2007jhm944.1,True,True,n1_geografia_bacia_jupia_ottobacias
Comportamento dos rios,Fish and aquatic habitat conservation in South America: a continental overview with emphasis on neotropical systems,2010,421,Journal of Fish Biology,http://repositorio.furg.br/handle/1/1948,https://doi.org/10.1111/j.1095-8649.2010.02684.x,True,True,n2_operacao_reservatorios_ons_sar
Comportamento dos rios,"Extreme Drought in the Brazilian Pantanal in 2019–2020: Characterization, Causes, and Impacts",2021,356,Frontiers in Water,https://www.frontiersin.org/articles/10.3389/frwa.2021.639204/pdf,https://doi.org/10.3389/frwa.2021.639204,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Comportamento da bacia,The Hydrologic Cycle of the La Plata Basin in South America,2002,272,Journal of Hydrometeorology,https://journals.ametsoc.org/downloadpdf/journals/hydr/3/6/1525-7541_2002_003_0630_thcotl_2_0_co_2.pdf,https://doi.org/10.1175/1525-7541(2002)003<0630:thcotl>2.0.co;2,True,True,n1_geografia_bacia_jupia_ottobacias
Sedimentos e turbidez,The regional intraplate stress field in South America,1992,210,Journal of Geophysical Research Atmospheres,https://doi.org/10.1029/91jb01590,https://doi.org/10.1029/91jb01590,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Comportamento dos rios,"Limnology in the Upper Paraná River floodplain: large-scale spatial and temporal patterns, and the influence of reservoirs",2009,203,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/tmspstsPphgrMVXsj9tSshn/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842009000300025,True,True,n2_operacao_reservatorios_ons_sar
Clima e variabilidade,"Wetland loss due to land use change in the Lower Paraná River Delta, Argentina",2016,185,The Science of The Total Environment,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716308993-fx1_lrg.jpg,https://doi.org/10.1016/j.scitotenv.2016.04.200,True,True,n2_clima_chuva_seca_jupia
Pressao territorial,On the Hydrological Cycle of the Amazon Basin: A historical review and current State-of-the-art,2006,159,Biblioteca Digital da Memória Científica do INPE (National Institute for Space Research),http://urlib.net/sid.inpe.br/mtc-m15@80/2007/04.23.17.52,,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Sedimentos e turbidez,Quartz Cementation in Sandstones,2000,138,,https://doi.org/10.1002/9781444304237,https://doi.org/10.1002/9781444304237,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Pressao territorial,A model for the Guaraní expansion in the La Plata Basin and littoral zone of southern Brazil,2014,134,Quaternary International,https://www.sciencedirect.com/science/article/pii/S1040618214008076,https://doi.org/10.1016/j.quaint.2014.10.050,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Clima e variabilidade,"Uncertainty in climate change impacts on water resources in the Rio Grande Basin, Brazil",2011,130,Hydrology and earth system sciences,https://hess.copernicus.org/articles/15/585/2011/hess-15-585-2011.pdf,https://doi.org/10.5194/hess-15-585-2011,True,True,n2_clima_chuva_seca_jupia
Comportamento da bacia,Extreme discharge events in the Paraná River and their climate forcing,2003,122,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169403001331,https://doi.org/10.1016/s0022-1694(03)00133-1,True,True,n1_geografia_bacia_jupia_ottobacias
Comportamento dos rios,Carbon dynamics and sources in the Parani River,1993,116,Limnology and Oceanography,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lo.1993.38.2.0382,https://doi.org/10.4319/lo.1993.38.2.0382,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Comportamento dos rios,Blockage of migration routes by dam construction: can migratory fish find alternative routes?,2007,115,Neotropical Ichthyology,https://www.scielo.br/j/ni/a/39SmJXXDdYkSTsHHGGFKTsP/?lang=en&format=pdf,https://doi.org/10.1590/s1679-62252007000200012,True,True,n2_operacao_reservatorios_ons_sar
Correlacao integrada,"The dependence of fish community structure and dynamics on floodplain and riparian ecotone zone in Parana River, Brazil",1995,115,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),http://ri.ufmt.br/bitstream/1/5280/1/DISS_2023_Adriana%20Mendes%20Barbalho%20%281%29.pdf,https://doi.org/10.1007/978-94-017-3360-1_13,True,True,n4_literatura_contexto_integrado_jupia
Sedimentos e turbidez,"The Southern Brazilian shelf: general characteristics, quaternary evolution and sediment distribution",2010,113,Brazilian Journal of Oceanography,https://www.scielo.br/j/bjoce/a/CTCxKJLqyPvJwWS8R9CrXfr/?lang=en&format=pdf,https://doi.org/10.1590/s1679-87592010000600004,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Pressao territorial,Precipitation extremes over La Plata Basin – Review and new results from observations and climate simulations,2015,112,Journal of Hydrology,https://www.sciencedirect.com/science/article/pii/S0022169415000451,https://doi.org/10.1016/j.jhydrol.2015.01.028,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Correlacao integrada,"The dependence of fish community structure and dynamics on floodplain and riparian ecotone zone in Parana River, Brazil",1995,106,Hydrobiologia,https://doi.org/10.1007/bf00034051,https://doi.org/10.1007/bf00034051,False,False,n4_literatura_contexto_integrado_jupia
Correlacao integrada,Environmental Issues in the la Plata Basin,1998,101,International Journal of Water Resources Development,https://doi.org/10.1080/07900629849376,https://doi.org/10.1080/07900629849376,False,False,n4_literatura_contexto_integrado_jupia
Sedimentos e turbidez,"Sequences and stratigraphtc hierarchy of the Paraná basin (Ordovician to Cretaceous), southern Brazil",1998,96,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),https://www.osti.gov/etdeweb/biblio/20183601,,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Comportamento dos rios,Zooplankton assemblages (Copepoda and Cladocera) in a cascade of reservoirs of a large tropical river (SE Brazil),2008,90,Limnetica,https://doi.org/10.23818/limn.27.13,https://doi.org/10.23818/limn.27.13,True,True,n2_operacao_reservatorios_ons_sar
Clima e variabilidade,Seasonal and inter-annual turbidity variability in the Río de la Plata from 15 years of MODIS: El Niño dilution effect,2016,85,Estuarine Coastal and Shelf Science,https://ars.els-cdn.com/content/image/1-s2.0-S0272771416303729-fx1_lrg.jpg,https://doi.org/10.1016/j.ecss.2016.09.013,True,True,n2_clima_chuva_seca_jupia
Sedimentos e turbidez,"On the relationship between flow and suspended sediment transport over the crest of a sand dune, RÃo ParanÃ¡, Argentina",2009,83,Sedimentology,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-3091.2009.01110.x,https://doi.org/10.1111/j.1365-3091.2009.01110.x,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Comportamento dos rios,"The ecological dynamics of Barra Bonita (Tietê River, SP, Brazil) reservoir: implications for its biodiversity",2008,78,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/bTg3F7VVKLVFGLCWfdS4CMF/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842008000500015,True,True,n2_operacao_reservatorios_ons_sar
Comportamento da bacia,The Paraná River Response to El Niño 1982–83 and 1997–98 Events,2000,78,Journal of Hydrometeorology,https://journals.ametsoc.org/downloadpdf/journals/hydr/1/5/1525-7541_2000_001_0412_tprrte_2_0_co_2.pdf,https://doi.org/10.1175/1525-7541(2000)001<0412:tprrte>2.0.co;2,True,True,n1_geografia_bacia_jupia_ottobacias
Comportamento dos rios,"Fish diversity in the cascade of reservoirs along the Paranapanema River, southeast Brazil",2018,75,Neotropical Ichthyology,http://www.scielo.br/pdf/ni/v16n2/1982-0224-ni-16-02-e170150.pdf,https://doi.org/10.1590/1982-0224-20170150,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Clima e variabilidade,Extreme Rainfall Indices in the Hydrographic Basins of Brazil,2014,73,Open Journal of Modern Hydrology,http://www.scirp.org/journal/PaperDownload.aspx?paperID=41739,https://doi.org/10.4236/ojmh.2014.41002,True,True,n2_clima_chuva_seca_jupia
Clima e variabilidade,"Emergent Complexity, Changing Landscapes, and Spheres of Interaction in Southeastern South America During the Middle and Late Holocene",2016,72,Journal of Archaeological Research,https://link.springer.com/content/pdf/10.1007%2Fs10814-016-9100-0.pdf,https://doi.org/10.1007/s10814-016-9100-0,True,True,n2_clima_chuva_seca_jupia
Comportamento da bacia,Is fish passage technology saving fish resources in the lower La Plata River basin?,2007,72,Neotropical Ichthyology,https://www.scielo.br/j/ni/a/r9DvMKysshjHRtKNjKpyJVH/?lang=en&format=pdf,https://doi.org/10.1590/s1679-62252007000200002,True,True,n1_geografia_bacia_jupia_ottobacias
Poluicao e qualidade da agua,Bacterial community composition and potential pathogens along the Pinheiros River in the southeast of Brazil,2020,63,Scientific Reports,https://www.nature.com/articles/s41598-020-66386-y.pdf,https://doi.org/10.1038/s41598-020-66386-y,True,True,n3_poluicao_saneamento_efluentes_outorgas
Pressao territorial,Carbon Stocks and Fluxes in Rangelands of the Río de la Plata Basin,2010,63,Rangeland Ecology & Management,https://repository.arizona.edu/bitstream/10150/642768/1/20005-34759-1-PB.pdf,https://doi.org/10.2111/08-055.1,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Sedimentos e turbidez,A review of the suspended sediment budget at the confluence of the Paraná and Paraguay Rivers,2009,63,Hydrological Processes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hyp.7390,https://doi.org/10.1002/hyp.7390,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Correlacao integrada,"Analysis by RAPD of the genetic structure of Astyanax altiparanae (Pisces, Characiformes) in reservoirs on the Paranapanema River, Brazil",2004,61,Genetics and Molecular Biology,https://www.scielo.br/j/gmb/a/J5JzkHmxCjq8y33NhyHwbKC/?lang=en&format=pdf,https://doi.org/10.1590/s1415-47572004000300009,True,True,n4_literatura_contexto_integrado_jupia
Clima e variabilidade,Potential Utility of the Real-Time TMPA-RT Precipitation Estimates in Streamflow Prediction,2010,60,Journal of Hydrometeorology,https://journals.ametsoc.org/downloadpdf/journals/hydr/12/3/2010jhm1353_1.pdf,https://doi.org/10.1175/2010jhm1353.1,True,True,n2_clima_chuva_seca_jupia
Comportamento da bacia,"Reassessment of the enigmatic crocodyliform ""Goniopholis"" paulistanus Roxo, 1936: Historical approach, systematic, and description by new materials",2018,59,PLoS ONE,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0199984&type=printable,https://doi.org/10.1371/journal.pone.0199984,True,True,n1_geografia_bacia_jupia_ottobacias
Clima e variabilidade,Production of scale in regional hydropolitics: An analysis of La Plata River Basin and the Guarani Aquifer System in South America,2019,57,Geoforum,https://ueaeprints.uea.ac.uk/id/eprint/69584/1/Accepted_Manuscript.pdf,https://doi.org/10.1016/j.geoforum.2018.11.019,True,True,n2_clima_chuva_seca_jupia
Pressao territorial,Land cover change explains the increasing discharge of the Paraná River,2018,52,Regional Environmental Change,https://link.springer.com/content/pdf/10.1007%2Fs10113-018-1321-y.pdf,https://doi.org/10.1007/s10113-018-1321-y,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Correlacao integrada,"Influence of reservoirs on phytoplankton dispersion and functional traits: a case study in the Upper Paraná River, Brazil",2012,51,Hydrobiologia,https://doi.org/10.1007/s10750-012-1313-8,https://doi.org/10.1007/s10750-012-1313-8,False,False,n4_literatura_contexto_integrado_jupia
Sedimentos e turbidez,"The stratigraphy, sedimentology, and age of the Late Palaeozoic Mesosaurus Inland Sea, SW-Gondwana : new implications from studies on sediments and altered pyroclastic layers of the Dwyka and Ecca Group (lower Karoo Supergroup) in southern Namibia",2006,51,Online Publication Service of Würzburg University (Würzburg University),https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/1918,,False,True,n3_sedimentos_turbidez_assoreamento_jupia
Sedimentos e turbidez,Benthos of a large neotropical river: spatial patterns and species assemblages in the Lower Paraguay and its floodplains,2004,51,Archiv für Hydrobiologie,https://doi.org/10.1127/0003-9136/2004/0160-0347,https://doi.org/10.1127/0003-9136/2004/0160-0347,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Pressao territorial,Extreme events in the La Plata basin: a retrospective analysis of what we have learned during CLARIS-LPB project,2016,48,Climate Research,https://www.int-res.com/articles/cr2016/68/c068p095.pdf,https://doi.org/10.3354/cr01374,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Clima e variabilidade,Detecting and Quantifying a Massive Invasion of Floating Aquatic Plants in the Río de la Plata Turbid Waters Using High Spatial Resolution Ocean Color Imagery,2018,43,Remote Sensing,https://www.mdpi.com/2072-4292/10/7/1140/pdf?version=1531985427,https://doi.org/10.3390/rs10071140,True,True,n2_clima_chuva_seca_jupia
Sedimentos e turbidez,Facies and architectural analysis of channel sandy macroforms in the upper Parana river,2000,43,Quaternary International,https://doi.org/10.1016/s1040-6182(00)00024-0,https://doi.org/10.1016/s1040-6182(00)00024-0,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Clima e variabilidade,Behavior of ionophore antibiotics in aquatic environments in Argentina: The distribution on different scales in water courses and the role of wetlands in depuration,2019,41,Environment International,https://ars.els-cdn.com/content/image/1-s2.0-S0160412019325280-ga1_lrg.jpg,https://doi.org/10.1016/j.envint.2019.105144,True,True,n2_clima_chuva_seca_jupia
Comportamento dos rios,The economic value of coordination in large‐scale multireservoir systems: The Parana River case,2013,41,Water Resources Research,https://doi.org/10.1002/2013wr013679,https://doi.org/10.1002/2013wr013679,False,False,n2_operacao_reservatorios_ons_sar
Clima e variabilidade,"Rural History of the Rio de la Plata, 1600–1850: Results of a Historiographical Renaissance",1995,40,Latin American Research Review,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7C806D875D4B22EE497EA8A6B69D7B51/S0023879100017544a.pdf/div-class-title-rural-history-of-the-rio-de-la-plata-1600-1850-results-of-a-historiographical-renaissance-div.pdf,https://doi.org/10.1017/s0023879100017544,True,True,n2_clima_chuva_seca_jupia
Poluicao e qualidade da agua,Zooplankton community resilience and aquatic environmental stability on aquaculture practices: a study using net cages,2012,38,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/StLyy3gZWmXP7JFyc8zCNYc/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842012000100001,True,True,n3_poluicao_saneamento_efluentes_outorgas
Comportamento dos rios,Hydropower Development and Fishways: A Need for Connectivity in Rivers of the Upper Paraná Basin,2019,35,Sustainability,https://www.mdpi.com/2071-1050/11/13/3749/pdf?version=1562671979,https://doi.org/10.3390/su11133749,True,True,n2_operacao_reservatorios_ons_sar
Sedimentos e turbidez,"The geochemical signature of suspended sediments in the Parana River basin: Implications for provenance, weathering and sedimentary recycling",2016,35,CATENA,http://hdl.handle.net/11336/44292,https://doi.org/10.1016/j.catena.2016.04.008,False,True,n3_sedimentos_turbidez_assoreamento_jupia
Sedimentos e turbidez,"Provenance and paleogeography of the Devonian Durazno Group, southern Parana Basin in Uruguay",2016,35,Journal of South American Earth Sciences,https://ars.els-cdn.com/content/image/1-s2.0-S0895981116300025-fx1_lrg.jpg,https://doi.org/10.1016/j.jsames.2016.01.002,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Comportamento da bacia,Diversification and Species Boundaries of Rhinebothrium (Cestoda; Rhinebothriidea) in South American Freshwater Stingrays (Batoidea; Potamotrygonidae),2011,35,PLoS ONE,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0022604&type=printable,https://doi.org/10.1371/journal.pone.0022604,True,True,n1_geografia_bacia_jupia_ottobacias
Poluicao e qualidade da agua,Checklist of parasites in fish from the upper Paraná River floodplain: An update,2020,33,Revista Brasileira de Parasitologia Veterinária/Brazilian Journal of Veterinary Parasitology,http://www.scielo.br/j/rbpv/a/qfy7N7YM6hzSryzvxVgDRNy/?format=pdf&lang=en,https://doi.org/10.1590/s1984-29612020066,True,True,n3_poluicao_saneamento_efluentes_outorgas
Pressao territorial,"Land cover data of Upper Parana River Basin, South America, at high spatial resolution",2019,33,International Journal of Applied Earth Observation and Geoinformation,https://doi.org/10.1016/j.jag.2019.101926,https://doi.org/10.1016/j.jag.2019.101926,False,False,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Sedimentos e turbidez,"Guadua zuloagae sp. nov., the First Petrified Bamboo Culm Record from the Ituzaingo Formation (Pliocene), Parana Basin, Argentina",2007,33,Annals of Botany,https://academic.oup.com/aob/article-pdf/100/4/711/345138/mcm175.pdf,https://doi.org/10.1093/aob/mcm175,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Correlacao integrada,"Occurrence of Three Sympatric Cytotypes of Hoplias malabaricus (Pisces,Erythrinidae) in the Upper Parana River Foodplain (Brazil)",2003,31,CYTOLOGIA,https://www.jstage.jst.go.jp/article/cytologia/68/2/68_2_159/_pdf,https://doi.org/10.1508/cytologia.68.159,True,True,n4_literatura_contexto_integrado_jupia
Sedimentos e turbidez,"PAHs diagnostic ratios for the distinction of petrogenic and pirogenic sources: applicability in the Upper Iguassu Watershed - Parana, Brazil",2017,30,Revista Brasileira de Recursos Hídricos,http://www.scielo.br/pdf/rbrh/v22/2318-0331-rbrh-22-e9.pdf,https://doi.org/10.1590/2318-0331.011716084,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Clima e variabilidade,Analysis of Current and Future SPEI Droughts in the La Plata Basin Based on Results from the Regional Eta Climate Model,2017,30,Water,https://www.mdpi.com/2073-4441/9/11/857/pdf?version=1509793102,https://doi.org/10.3390/w9110857,True,True,n2_clima_chuva_seca_jupia
Pressao territorial,Quality of surface water related to land use: a case study in a catchment with small farms and intensive vegetable crop production in southern Brazil,2014,30,Revista Brasileira de Ciência do Solo,https://www.scielo.br/j/rbcs/a/W4NCrTHppgrfcfK5WqY7cYp/?lang=en&format=pdf,https://doi.org/10.1590/s0100-06832014000200030,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Comportamento dos rios,"Sponge spicules in peaty sediments as paleoenvironmental indicators of the Holocene in the upper Paraná River, Brazil",2007,30,Revista Brasileira de Paleontologia,https://doi.org/10.4072/rbp.2007.1.02,https://doi.org/10.4072/rbp.2007.1.02,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Comportamento dos rios,Austral rivers of South America,1994,29,,https://bibliotecadigital.exactas.uba.ar/collection/paper/document/paper_NIS19140_v_n_p_Bonetto,,False,False,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Clima e variabilidade,Spatial Trends of Extreme Precipitation Events in the Paraná River Basin,2020,28,Journal of Applied Meteorology and Climatology,https://journals.ametsoc.org/downloadpdf/journals/apme/59/3/jamc-d-19-0181.1.pdf,https://doi.org/10.1175/jamc-d-19-0181.1,True,True,n2_clima_chuva_seca_jupia
Pressao territorial,"Severe population decline of marsh deer, Blastocerus dichotomus (Cetartiodactyla: Cervidae), a threatened species, caused by flooding related to a hydroelectric power plant",2013,28,Zoologia (Curitiba),https://www.scielo.br/j/zool/a/P95ggky3Y9CTPN69RY4NkkJ/?lang=en&format=pdf,https://doi.org/10.1590/s1984-46702013005000015,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
